oui	companyName
D8:08:F5	Arcadia Networks Co Ltd
70:B3:D5:C2:2	Skyriver Communications Inc
40:B6:E7	"Huawei Device Co, Ltd"
00:C0:4B	Creative Microsystems
90:17:C8	"Huawei Tech Co, Ltd"
00:0A:3F	Data East Corp
00:50:C2:39:4	Embedit A/S
00:25:25	Ctera Networks Ltd
70:82:0E	as electronics GmbH
A8:8D:7B	SunDroid Global Ltd
70:B3:D5:DA:A	AmTote Australasia
00:50:C2:61:C	"TestPro Systems, Inc"
18:80:F5	"Alcatel-Lucent Shanghai Bell Co, Ltd"
64:55:7F	"Nsfocus Information Tech Co, Ltd"
1C:FD:08:5	"Beijing Hengxin Rainbow Information Tech Co, Ltd"
70:B3:D5:11:0	"Orion Power Systems, Inc"
08:79:8C	"Huawei Tech Co, Ltd"
00:50:C2:25:6	Information Tech Corp
00:50:C2:34:0	Virtu
6C:8D:65	"Wireless Glue Networks, Inc"
B8:70:F4	"Compal Information (Kunshan) Co, Ltd"
10:C5:95	Lenovo
70:B3:D5:35:8	Nevotek
2C:94:64	"Cincoze Co, Ltd"
C0:6C:6D	"MagneMotion, Inc"
BC:4C:C4	"Apple, Inc"
70:B3:D5:A8:4	Sorel GmbH Mikroelektronik
04:C8:80	Samtec Inc
00:50:C2:F2:8	Vertex Antennentechnik GmbH
00:14:0C	"Gkb Cctv Co, Ltd"
00:14:89	"B15402100 - Jandei, S.L."
00:14:EA	S Digm Inc (Safe Paradigm Inc)
00:16:C2	Avtec Systems Inc
00:1B:43	"Beijing DG Telecommunications equipment Co, Ltd"
E8:B1:FC	Intel Corp
00:07:12	Jal Information Tech
00:1B:00	Neopost Tech
04:11:19:7	Herrick Tech Labs
00:0C:C2	ControlNet (India) Private Ltd
00:50:C2:6D:0	Eds Systemtechnik
00:21:60	Hidea Solutions Co Ltd
78:EC:22	"Shanghai Qihui Telecom Tech Co, Ltd"
7C:AC:B2	Bosch Software Innovations GmbH
D0:EC:35	"Cisco Systems, Inc"
00:0E:F2	Infinico Corp
00:50:C2:C2:8	Elreha GmbH
68:05:CA	Intel Corp
